id	updated_at	exported_at	facility_id	type	date	critical_violations	non_critical_violations
1	2013-03-05 14:46:45	2013-04-15 04:27:21	1	Standard Inspection	2013-02-26	0	0
2	2013-03-05 14:46:55	0000-00-00 00:00:00	2	Follow-up Inspection	2013-01-11	0	0
3	2013-03-05 14:46:55	0000-00-00 00:00:00	2	Standard Inspection	2013-01-08	2	2
4	2013-03-05 14:47:04	0000-00-00 00:00:00	3	Follow-up Inspection	2013-02-11	0	1
5	2013-03-05 14:47:04	0000-00-00 00:00:00	3	Standard Inspection	2013-02-07	5	3
6	2013-03-05 14:47:13	0000-00-00 00:00:00	4	Follow-up Inspection	2013-01-22	0	0
7	2013-03-05 14:47:13	0000-00-00 00:00:00	4	Standard Inspection	2013-01-17	3	5
8	2013-03-05 14:47:25	2013-04-15 04:27:22	5	Standard Inspection	2013-02-25	0	2
9	2013-03-05 14:47:54	2013-04-15 04:27:22	6	Complaint Inspection	2013-02-26	0	0
10	2013-03-05 14:47:54	0000-00-00 00:00:00	6	Follow-up Inspection	2013-02-01	0	0
11	2013-03-05 14:47:54	0000-00-00 00:00:00	6	Standard Inspection	2013-01-29	7	4
12	2013-03-05 14:48:00	0000-00-00 00:00:00	7	Standard Inspection	2013-01-16	1	0
13	2013-03-05 14:48:07	0000-00-00 00:00:00	8	Standard Inspection	2013-02-05	1	0
14	2013-03-05 14:48:13	0000-00-00 00:00:00	9	Standard Inspection	2013-01-07	0	0
15	2013-03-05 14:48:20	2013-04-15 04:27:22	10	Follow-up Inspection	2013-02-15	0	0
16	2013-03-05 14:48:20	0000-00-00 00:00:00	10	Standard Inspection	2013-01-29	1	3
17	2013-03-05 14:48:25	0000-00-00 00:00:00	11	Standard Inspection	2013-01-16	0	1
18	2013-03-05 14:48:31	0000-00-00 00:00:00	12	Standard Inspection	2013-01-16	0	1
19	2013-03-05 14:48:37	0000-00-00 00:00:00	13	Standard Inspection	2013-01-08	1	3
20	2013-03-05 14:48:42	0000-00-00 00:00:00	14	Standard Inspection	2013-02-11	0	0
21	2013-03-05 14:48:49	2013-04-15 04:27:23	15	Follow-up Inspection	2013-02-15	1	2
22	2013-03-05 14:48:49	0000-00-00 00:00:00	15	Standard Inspection	2013-02-04	3	5
23	2013-03-05 14:48:56	2013-04-15 04:27:25	16	Standard Inspection	2013-02-20	3	3
24	2013-03-05 14:49:00	0000-00-00 00:00:00	17	Standard and Complaint Inspection	2013-01-07	0	0
25	2013-03-05 14:49:07	0000-00-00 00:00:00	18	Standard Inspection	2013-01-28	2	1
26	2013-03-05 14:49:17	2013-04-15 04:27:26	19	Follow-up Inspection	2013-02-15	0	0
27	2013-03-05 14:49:17	2013-04-15 04:27:27	19	Standard Inspection	2013-02-14	2	2
28	2013-03-05 14:49:22	0000-00-00 00:00:00	20	Standard Inspection	2013-02-12	0	0
29	2013-03-05 14:49:26	0000-00-00 00:00:00	21	Standard Inspection	2013-02-13	0	0
30	2013-03-05 14:49:29	0000-00-00 00:00:00	22	Standard Inspection	2013-01-18	0	0
31	2013-03-05 14:49:36	0000-00-00 00:00:00	23	Standard Inspection	2013-02-11	0	1
32	2013-03-05 14:49:42	0000-00-00 00:00:00	24	Standard Inspection	2013-02-04	0	2
33	2013-03-05 14:49:48	2013-04-15 04:27:31	25	Standard Inspection	2013-02-21	11	7
34	2013-03-05 14:49:48	0000-00-00 00:00:00	25	Follow-up Inspection	2013-01-18	0	1
35	2013-03-05 14:49:52	0000-00-00 00:00:00	26	Standard Inspection	2013-01-18	0	0
36	2013-03-05 14:49:56	0000-00-00 00:00:00	27	Standard Inspection	2013-02-06	0	0
37	2013-03-05 14:49:59	0000-00-00 00:00:00	28	Standard Inspection	2013-02-12	0	0
38	2013-03-05 14:50:04	0000-00-00 00:00:00	29	Standard Inspection	2013-01-23	0	0
39	2013-03-05 14:50:12	0000-00-00 00:00:00	30	Standard Inspection	2013-01-31	1	0
40	2013-03-05 14:50:15	0000-00-00 00:00:00	31	Standard Inspection	2013-01-04	0	0
41	2013-03-05 14:50:18	0000-00-00 00:00:00	32	Standard Inspection	2013-01-11	0	0
42	2013-03-05 14:50:23	0000-00-00 00:00:00	33	Follow-up Inspection	2013-01-17	0	2
43	2013-03-05 14:50:23	0000-00-00 00:00:00	33	Standard Inspection	2013-01-11	3	7
44	2013-03-05 14:50:32	2013-04-15 04:27:32	34	Follow-up Inspection	2013-02-22	0	0
45	2013-03-05 14:50:32	0000-00-00 00:00:00	34	Follow-up Inspection	2013-02-11	0	7
46	2013-03-05 14:50:32	0000-00-00 00:00:00	34	Follow-up Inspection	2013-02-07	1	7
47	2013-03-05 14:50:32	0000-00-00 00:00:00	34	Standard Inspection	2013-01-31	9	10
48	2013-03-05 14:50:36	2013-04-15 04:27:32	35	Standard Inspection	2013-03-05	0	4
49	2013-03-05 14:50:40	0000-00-00 00:00:00	36	Standard Inspection	2013-02-06	0	0
50	2013-03-05 14:50:47	0000-00-00 00:00:00	37	Follow-up Inspection	2013-01-22	0	1
51	2013-03-05 14:50:51	0000-00-00 00:00:00	38	Standard Inspection	2013-01-08	2	1
52	2013-03-05 14:51:00	0000-00-00 00:00:00	39	Follow-up Inspection	2013-02-08	0	2
53	2013-03-05 14:51:00	0000-00-00 00:00:00	39	Standard and Complaint Inspection	2013-01-25	4	6
54	2013-03-05 14:51:05	0000-00-00 00:00:00	40	Complaint Inspection	2013-01-23	0	1
55	2013-03-05 14:51:05	0000-00-00 00:00:00	40	Standard Inspection	2013-01-15	1	1
56	2013-03-05 14:51:09	0000-00-00 00:00:00	41	Standard Inspection	2013-01-07	0	3
57	2013-03-05 14:51:14	0000-00-00 00:00:00	42	Standard Inspection	2013-01-07	1	1
58	2013-03-05 14:51:19	0000-00-00 00:00:00	43	Follow-up Inspection	2013-02-12	0	1
59	2013-03-05 14:51:19	0000-00-00 00:00:00	43	Follow-up Inspection	2013-02-05	0	2
60	2013-03-05 14:51:23	0000-00-00 00:00:00	44	Standard Inspection	2013-02-12	0	3
61	2013-03-05 14:51:31	2013-04-15 04:27:32	45	Follow-up Inspection	2013-02-20	0	1
62	2013-03-05 14:51:31	0000-00-00 00:00:00	45	Standard Inspection	2013-02-11	7	4
63	2013-03-05 14:51:35	0000-00-00 00:00:00	46	Follow-up Inspection	2013-01-09	0	1
64	2013-03-05 14:51:39	2013-04-15 04:27:36	47	Standard Inspection	2013-02-19	6	10
65	2013-03-05 14:51:45	0000-00-00 00:00:00	48	Follow-up Inspection	2013-02-13	0	0
66	2013-03-05 14:51:45	0000-00-00 00:00:00	48	Standard Inspection	2013-02-08	1	2
67	2013-03-05 14:51:50	0000-00-00 00:00:00	49	Standard Inspection	2013-01-28	0	2
68	2013-03-05 14:52:02	0000-00-00 00:00:00	50	Complaint Inspection	2013-02-01	0	0
69	2013-03-05 14:52:11	0000-00-00 00:00:00	51	Follow-up Inspection	2013-02-08	1	3
70	2013-03-05 14:52:11	0000-00-00 00:00:00	51	Standard Inspection	2013-01-30	4	5
71	2013-03-05 14:52:18	0000-00-00 00:00:00	52	Standard Inspection	2013-02-04	0	0
72	2013-03-05 14:52:21	0000-00-00 00:00:00	53	Standard Inspection	2013-02-05	0	0
73	2013-03-05 14:52:26	0000-00-00 00:00:00	54	Follow-up Inspection	2013-02-08	0	0
